sigma_meta,replicate,mean_conf_R1,mean_conf_R2,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,meta_d,M_ratio
0.0019684194472866113,19,0.7590027700831025,0.7590371049380256,0.24763709941650824,0.24914723151234697,0.4982856855362385,0.5013243142732019,2.012160886677795,1.0072934418240218
0.002761699813343849,0,0.7532638639358007,0.7593074980964213,0.25685337734775215,0.24992679207518712,0.5067923208342793,0.4931256123720925,1.9730802299248587,0.9898749266209615
0.002761699813343849,1,0.7610714712799458,0.7625336169871152,0.24793670241430182,0.2451522395916988,0.4998224733957736,0.49420919758174575,2.015927728846579,0.9967461734362493
0.002761699813343849,2,0.756074168797954,0.7607303010890455,0.2501260787711398,0.24484787641645414,0.5103107021467713,0.49954204034658817,2.0402138979426256,1.0206041986329493
0.002761699813343849,3,0.755591054313099,0.7572115384615384,0.25382716113014153,0.25146306369345595,0.5055230883046159,0.5008147433350498,1.9916036016548502,0.9939807236728776
0.002761699813343849,4,0.7564735637721306,0.7598740584273246,0.24929042915063962,0.24759958017461273,0.5024509005396243,0.49904295345727623,2.0155242311208283,1.0151676342303086
0.002761699813343849,5,0.7574844283705043,0.7576746963965757,0.24797512741792857,0.24973389445566527,0.49797886914497447,0.5015107911956304,2.008180716873666,1.0179950759015906
0.002761699813343849,6,0.7609375,0.7586261980830671,0.24630926172517567,0.24914280272879677,0.49081574866705424,0.49646209155862947,1.9926808485776366,1.007924690484841
0.002761699813343849,7,0.7642667950878883,0.7575552188820668,0.24378594835389947,0.2526311905721389,0.4892525984898321,0.5070040635302345,2.006894170042948,0.9902339648194997
0.002761699813343849,8,0.7605830670926518,0.7590945512820513,0.24920696181570307,0.25005767727095474,0.4923814828372649,0.4940623208615219,1.9757934499494343,0.9900100020020247
0.002761699813343849,9,0.7571502652678607,0.7592555453050419,0.2542410036217357,0.2506177099249573,0.5014951398086239,0.49434812515265186,1.9725187230410612,0.9796559226377848
0.002761699813343849,10,0.7589922294320276,0.7563713349844212,0.2492255243960685,0.252573239925913,0.4960113823847791,0.5026740426873824,1.9902110090318006,0.99822528777917
0.002761699813343849,11,0.7558120955500519,0.7577104862613154,0.25136429013009554,0.24872798215005534,0.5080172740568912,0.5026891902908905,2.02103995676539,1.0133530071855963
0.002761699813343849,12,0.7555582165808487,0.7557221309175451,0.2513072776909601,0.2501926396171694,0.5052455340874455,0.5030045886039681,2.010469170370628,1.0188534745214861
0.002761699813343849,13,0.7611539078799551,0.7530307864093156,0.24649149822684366,0.25584529406403556,0.4963649806039572,0.5152009109411095,2.0137204900558374,0.9995368491011266
0.002761699813343849,14,0.7582456978967496,0.764741323907455,0.24835127446831556,0.23974853501961785,0.5078908639791478,0.4902978285476184,2.045050362904194,1.0229878619424513
0.002761699813343849,15,0.7588002082415602,0.7565623876303488,0.24616068972117364,0.24951047808229174,0.5032327894231567,0.5100808501060062,2.0443263706856234,1.0242677469397057
