dprime,replicate,sigma_meta,mean_conf_R1,mean_conf_R2,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,meta_d,M_ratio
1.0,10,0.001,0.6612331114742338,0.6556264803886146,0.5040670568675928,0.5099743733319665,0.4957661528335032,0.50157618845716,0.9835321433507803,0.994407006988099
1.0,11,0.001,0.6582248237964401,0.6645236468839153,0.49289949604253147,0.47991656065868266,0.504300352822932,0.4910171197352127,1.023130185508278,1.0166940062747842
1.0,12,0.001,0.660180122225796,0.6577125119388729,0.4851883755414764,0.4933538766675267,0.4958892388118505,0.5042348306315132,1.0220550693499855,1.038693638149055
1.0,13,0.001,0.6586960882647944,0.6626520438683948,0.5118449538509648,0.5078525539499676,0.4962148135096141,0.4923443289860801,0.9694631348345737,0.9804112348014874
1.0,14,0.001,0.6535050760402873,0.6576418517484748,0.49498590822953403,0.4914799433537865,0.5066741672149354,0.5030854148804337,1.0236133166441201,1.0500649741615062
1.0,15,0.001,0.6643051552993916,0.666053725615606,0.4992133138224967,0.4973026065500429,0.48956475402515615,0.4876909760029107,0.9806724710055085,0.9806170284283945
1.0,16,0.001,0.6581045172719221,0.6509021540418091,0.485793797819739,0.5019182806796847,0.500098528652913,0.5166978145839782,1.029446096054281,1.0309842041640178
1.0,17,0.001,0.6588159639885857,0.6614913014053108,0.5080558670552459,0.5070222875941127,0.49669802346067987,0.49568755018652993,0.9776444987036613,0.9783452470414375
1.0,18,0.001,0.6550677160321202,0.6559333573631303,0.5261481518621223,0.5239050710756329,0.5042289624941948,0.502079327845172,0.9583402710997807,0.9420889667755002
1.0,19,0.001,0.6609397055858036,0.6575679428684785,0.47725717125476447,0.4883340245061393,0.4964807289743682,0.5080037494928991,1.0402792433041137,1.0315859398046385
1.5,0,0.001,0.7081729226820661,0.7055537823172678,0.3301868880169281,0.3345511388362171,0.4937696064613466,0.5002960146493921,1.4954246348995903,0.9818497519290378
1.5,1,0.001,0.7045817369093231,0.7018120590121874,0.3351534496338876,0.3368965268729449,0.4997885754368579,0.5023878925291824,1.4912231277428687,0.9949504016330736
1.5,2,0.001,0.7065069316451639,0.7054947687884354,0.3326860829658083,0.3347404840340201,0.49489571138430105,0.49795178835950127,1.4875756357838503,0.9876138089125184
1.5,3,0.001,0.697462824161289,0.7042034250129735,0.33695427849570714,0.3302678374410066,0.5145974447314362,0.5043858946764631,1.5272025837712944,1.0134726242109142
1.5,4,0.001,0.7049474187380497,0.7042095115681234,0.3345464726485721,0.33314413663770376,0.5008602430491965,0.49876076087657173,1.4971320399343455,0.9942899656920028
1.5,5,0.001,0.7003634620761273,0.6991146897408164,0.34167353376726917,0.3422376726581341,0.5050541845491682,0.5058880820546516,1.478177659769181,0.9894903395248779
1.5,6,0.001,0.7083116571291368,0.7034904641957539,0.3337875407574151,0.3394598882555141,0.4921405423729907,0.5005039227673217,1.4744125597266104,0.9707076743255765
