tauY,replicate,sigma_meta,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
0.33999999999999997,5,0.001,0.2524170111001449,0.16846167143899723,0.49902109743388434,0.3330438300914759,0.7568281938325991,0.8379544546544146
0.33999999999999997,6,0.001,0.25332837451611045,0.1697103416468941,0.5039978207012935,0.33763940776032997,0.7563575392231227,0.8361588713879203
0.33999999999999997,7,0.001,0.2497136744352483,0.17145281118642408,0.49366811796894955,0.3389513482203607,0.7601565932968481,0.8348620178635799
0.33999999999999997,8,0.001,0.2499021922833258,0.1678762538615133,0.4934964365131556,0.33151503113629327,0.760698759621904,0.8382476832350463
0.33999999999999997,9,0.001,0.24989070453228457,0.16388158945545556,0.5056659927323094,0.33162236577645654,0.7570238711991392,0.8393624282330269
0.33999999999999997,10,0.001,0.25329106999673157,0.17277236063982263,0.49636878027203146,0.3385780869282715,0.7573819293587577,0.8362103253520007
0.33999999999999997,11,0.001,0.2447909320522729,0.17047677332970734,0.4928072208359542,0.34319974264305647,0.7610977564102565,0.8339856230031949
0.33999999999999997,12,0.001,0.2493069090158074,0.17023051464786906,0.4956997924714305,0.33847128872751436,0.760748185371301,0.8356334750862553
0.33999999999999997,13,0.001,0.2535798760149744,0.16520588673300732,0.5008396086142816,0.32629423498593657,0.7562686864660155,0.840016054585591
0.33999999999999997,14,0.001,0.2533884060668001,0.17227371248116816,0.49704081558405167,0.3379281155143247,0.755475040257649,0.8358108108108108
0.33999999999999997,15,0.001,0.2514984379042201,0.17317124387274427,0.4927717754854586,0.33930191383016,0.7602116486952339,0.8356683830279806
0.33999999999999997,16,0.001,0.24804053291825215,0.16566749424747748,0.49881778921702,0.3331628595270171,0.7589207312205636,0.838050188406959
0.33999999999999997,17,0.001,0.25511120971399964,0.16758643129411518,0.5143331562549383,0.3378732680921214,0.7513221153846154,0.836741214057508
0.33999999999999997,18,0.001,0.2450483352762694,0.1666107207285976,0.49043737448453506,0.3334530893384222,0.7656467592408387,0.8390638195198455
0.33999999999999997,19,0.001,0.2514064891038657,0.16666292816983952,0.5026431703248048,0.3332132869342681,0.7582050364005252,0.8378715360173752
0.4125,0,0.001,0.25272560793417775,0.2039840491554266,0.4991881747921005,0.4029129695915902,0.7575431892365257,0.8029986333306536
0.4125,1,0.001,0.2521195536050224,0.20156061713379003,0.5119705749640688,0.40930226778746504,0.7563711307518529,0.8015261011748557
0.4125,2,0.001,0.2514503896701679,0.20729561718877057,0.4914014459854195,0.4051111878037672,0.7607305571097435,0.8021058531507727
0.4125,3,0.001,0.2524580834777366,0.20454404527092548,0.502578915630669,0.40719442631765734,0.7559045677976262,0.8014573407534932
0.4125,4,0.001,0.250210158519833,0.20763884649988332,0.49576523651356147,0.4114146382120538,0.7591549858232499,0.799391001242037
0.4125,5,0.001,0.25107614554334784,0.2071724140501412,0.4913853069035851,0.40546058264387924,0.759336599469922,0.8031715674555742
0.4125,6,0.001,0.24589269782447426,0.20480143948104365,0.4905349908142503,0.40856142993840355,0.7623945359582162,0.8037833532457188
