c,replicate,d_prime,meta_d,M_ratio,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
-0.7,11,2.006017249998745,2.014953105239571,1.0044545256232624,0.251199074427034,0.25231090779809145,0.5061543550500582,0.5083946471535795,0.6521423384168482,0.8181981120802964
-0.7,12,1.9832632940440726,2.0067546521660202,1.0118448005327858,0.24573313326566748,0.2517489822409003,0.4931261083722108,0.5051984412899875,0.6593685738478288,0.8184724795314647
-0.7,13,1.9784531095848952,2.0029655767775205,1.0123897134957969,0.24261982113876282,0.25218000704162163,0.48595914998486095,0.5051078732558809,0.66255394153042,0.8187021194145527
-0.7,14,1.9946001116693188,2.029320733534539,1.0174073096968606,0.24601963228602086,0.24876089539233612,0.49925274065456543,0.5048156427122843,0.6585819775469772,0.8193623849083765
-0.7,15,1.977794647042964,1.9932934851621076,1.0078364243438096,0.24753889207633195,0.2511768689567001,0.49341766089999856,0.5006692165148068,0.659809362934363,0.8189624222115844
-0.7,16,2.005767898809905,1.985537903262364,0.9899140894818668,0.25084745004166853,0.248575554503336,0.4980671199944451,0.49355618529083317,0.6557108140947752,0.8221824686940966
-0.7,17,1.9965845810037222,2.023463398575773,1.0134623986520712,0.24360189480049244,0.24795655466363703,0.49291951795250233,0.5017310127988224,0.6613778957528957,0.8206378650071805
-0.7,18,2.032204481498084,2.0141081677070827,0.9910952298571543,0.25127746087197367,0.24869501076566086,0.5060999863029391,0.5008986524511184,0.6548363811357074,0.8206495685522531
-0.7,19,1.9960705948336304,2.0106805968768033,1.0073193814291876,0.24781089221553604,0.24839993758913206,0.4982685526725072,0.49945293477587677,0.6568011597004108,0.8208348283698123
-0.6,0,1.9924384054317867,2.0100786600180407,1.0088536009636047,0.24926035128001844,0.24865972394421484,0.5010329128965656,0.49982560470624326,0.6729980331553808,0.8131346064275734
-0.6,1,1.9996872244252781,2.025992598825375,1.013154744441425,0.24947037593629778,0.25037952311623984,0.5054251352731233,0.5072670607309289,0.6696801898519606,0.8120859389511486
-0.6,2,1.9756431661015488,1.9946676713981815,1.009629525019021,0.25129332774746677,0.25424668440865444,0.5012466768959396,0.5071376419501191,0.6719434152913439,0.8089542036910458
-0.6,3,2.0029834309253802,2.01192416728969,1.0044637095975273,0.24856215894183983,0.2487834062078961,0.5000882146487887,0.5005333473703141,0.6742368879644725,0.8132315047654528
-0.6,4,1.989461450957596,1.9598752964880877,0.9851285610710037,0.25340849172194024,0.2533018525920318,0.49664904284613676,0.4964400434497902,0.6719555731852439,0.812165796062189
-0.6,5,2.0031231272337555,2.0209075964703715,1.0088783704779924,0.2473317770132457,0.2503848617306301,0.4998346670145843,0.506004669112614,0.6750799259633182,0.8115072580895838
-0.6,6,2.016961285280728,1.9886224331847162,0.9859497292769962,0.25252336878645804,0.2492642633564486,0.5021736360721276,0.49569250590189673,0.6725972636675863,0.8140761189863209
-0.6,7,2.002285840421694,2.0017440635702455,0.9997294208246837,0.2550561714089036,0.24907398842856682,0.5105571769947277,0.49858237772664765,0.667061077304485,0.8135619496465335
-0.6,8,2.020403491505472,1.995476286854772,0.9876622641192697,0.24679420654072456,0.25264883552682704,0.49247198688515476,0.5041547601952548,0.6766793481346886,0.8123128222544691
-0.6,9,1.9992538096801167,1.9838056511708402,0.9922730378531838,0.25218493190636837,0.24557222844998686,0.5002858930559871,0.4871675745697005,0.6725040824370742,0.8166620142055148
-0.6,10,1.9955603850547872,2.023936059087222,1.0142194013495893,0.24379481797394298,0.24809800961615108,0.49342512311606884,0.5021345078498965,0.6773373983739838,0.8136769078295342
-0.6,11,2.0068505840303885,1.9730946271611534,0.98317963622312,0.25353472257370646,0.24798550364159752,0.5002479989089738,0.4892988648490887,0.6727231816391968,0.8152561834714335
-0.6,12,2.005148973128514,2.0010549015739643,0.9979582207559562,0.25133296788081566,0.25492312638555786,0.5029310673050379,0.5101151715783797,0.6717651689816116,0.8090759536890462
-0.6,13,1.9957053912110883,2.004701117915674,1.004507542417935,0.25011012852702696,0.2502396202253264,0.5013960542601639,0.5016556464125056,0.6743978091991282,0.8115675709346871
-0.6,14,1.9926237624330594,2.0240944025653667,1.015793568623251,0.24670209966053053,0.24622062230485828,0.4993483390240031,0.4983737834034249,0.6734118708077335,0.8148733686723085
-0.6,15,2.001349317321473,2.0091626436146695,1.0039040292594466,0.2532010762653947,0.24486740284963718,0.5087221437554599,0.4919784384444353,0.6687433350171185,0.8160830251996396
-0.6,16,2.0136220283740527,2.0415819971913685,1.013885410679527,0.25062435621696477,0.24713920541748374,0.5116701737102319,0.5045549525805143,0.6689786329567066,0.8132743913828528
-0.6,17,2.0112130221556903,1.9847722748156709,0.9868533332626898,0.251666468528767,0.2514951859497622,0.4995006292366674,0.49916067232269967,0.6743260662444657,0.8119538514164879
