tauN,replicate,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
-1.4275,18,0.7148398532017135,0.25127936005955603,1.4434023420635342,0.5073824790233727,0.34013115802943056,0.7573623559539052
-1.4275,19,0.7048435018335182,0.24766244750241395,1.4373863070337922,0.5050576615665929,0.3425184235821852,0.7587887503994887
-1.355,0,0.6748802662050876,0.2438217399495389,1.3726240905444578,0.495903659970848,0.3679000518899932,0.7610935182587084
-1.355,1,0.6835625249678886,0.2486030324916022,1.3621128177009512,0.49538317960313116,0.36928651059085843,0.759564378717248
-1.355,2,0.6730988048024673,0.2511750045141127,1.3525675936347341,0.504727046033824,0.3720799775614056,0.7572974483887713
-1.355,3,0.6834412094671132,0.25022929803605365,1.3582720764271479,0.49730607917445613,0.3683557973043235,0.7596111533384006
-1.355,4,0.6711836644721352,0.24901359622821181,1.3605181577610337,0.5047612704702853,0.37298032314829627,0.7587614018242919
-1.355,5,0.6756942964316563,0.24564269493596005,1.3642709845082537,0.4959686696000388,0.3679385034231493,0.7608200455580866
-1.355,6,0.6826704104030357,0.25321111954079684,1.3540898105584873,0.5022490965850941,0.36945143633385275,0.7562772816467102
-1.355,7,0.6681697654098362,0.24602092347494484,1.3513895527960011,0.49758328341800573,0.3743694451116983,0.7610103109263848
-1.355,8,0.6721451188562276,0.24611252825423033,1.3644365513711698,0.49960182686719856,0.37236674114267476,0.76018607635547
-1.355,9,0.6914201722369869,0.25150447717107827,1.3475063890292454,0.4901562081433275,0.3684819469379613,0.759695207539603
-1.355,10,0.6739568564303161,0.25061207558083304,1.363145745851675,0.5068882101689738,0.36890830394357166,0.7563078888534015
-1.355,11,0.6677537768612017,0.2496478446430014,1.3574065392292618,0.5074828904986316,0.3738598175708113,0.756838905775076
-1.355,12,0.6871709473933267,0.24787721993890552,1.3570805756939193,0.48952791385045813,0.36650262073380546,0.7616267445115368
