c,replicate,sigma_meta,d_prime,meta_d,M_ratio,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
-0.9,9,0.001,2.01271546227549,2.0090576401038973,0.9981826431802451,0.2495412596879454,0.24281978544038313,0.5013427742972174,0.4878389451073908,0.6218651763884038,0.8378029984587362
-0.9,10,0.001,2.0205848452662623,2.0267531055738903,1.0030527103685247,0.24645436327637313,0.24877852352784044,0.499502146152625,0.5042126451601378,0.6221301692059257,0.8336829152333809
-0.9,11,0.001,2.020732231204428,1.9829970544714042,0.981325988594475,0.25506109163641516,0.2496764770336372,0.5057853934252722,0.4951077185284998,0.618060435699227,0.8344422700587084
-0.9,12,0.001,1.973938809873147,2.0125260164124197,1.0195483296373065,0.24762051418161332,0.24952265967178952,0.4983427269879173,0.5021708442738985,0.6182669789227166,0.8344147706703055
-0.9,13,0.001,1.9874203005794984,2.0216732887353,1.0172348990023972,0.2481942696383244,0.2505934531579692,0.501767725344967,0.5066180905814069,0.6168005116907114,0.833560633471569
-0.9,14,0.001,1.971376274744801,2.042729497381679,1.036194623802153,0.2450544104046541,0.2478929204791036,0.5005798725970627,0.5063781808547558,0.6218598195697432,0.832705816240517
-0.9,15,0.001,1.9962531302434248,2.003476515715749,1.0036184717072645,0.2486437923685911,0.2518379581934343,0.498151998788975,0.5045514350063501,0.6222908045170793,0.8321629409954396
-0.9,16,0.001,1.985193427813623,2.035515273537412,1.0253485856938438,0.24398983520838705,0.2446852940801956,0.496645036154548,0.49806065331023147,0.6219151036525172,0.8364788653749512
-0.9,17,0.001,1.998161660573367,2.032804396429015,1.0173373038524358,0.24597866870534965,0.2475928868989054,0.5000265191719909,0.5033079090126468,0.6212556997544721,0.834186599524409
-0.9,18,0.001,1.9990450352279299,1.9790603788907937,0.9900028983915025,0.2534959354609082,0.24694410403342404,0.5016837620805412,0.4887172920932357,0.6213598996795319,0.8356337316950009
-0.9,19,0.001,2.005311178189544,2.0050623338698514,0.9998759073791644,0.24825037222658147,0.25215581578934254,0.4977574707206888,0.5055881285054354,0.6211746413174076,0.8325569719115227
-0.8,0,0.001,2.0147874235812178,2.0203582360205785,1.0027649628810262,0.24994331783485924,0.24394826736397993,0.504975040725967,0.49286289113176696,0.6385720729428442,0.8299063252225863
-0.8,1,0.001,2.029487925877217,1.975984487524801,0.9736369762686368,0.2519721405103489,0.2500221482402194,0.4978930409368689,0.4940398864602997,0.6419264925131264,0.8276400659474156
-0.8,2,0.001,2.0048347699164766,1.9754954192554208,0.9853657014027755,0.2529747246008228,0.2511064148729625,0.4997504096363271,0.4960595723271886,0.6381965287746314,0.8272769221895369
-0.8,3,0.001,2.0139360407359588,1.9908482131804233,0.9885359678318789,0.24692323722939613,0.25045947991111683,0.49158668563086905,0.49862680805514503,0.6440224484468807,0.8273445610797093
-0.8,4,0.001,1.9811240139866608,1.9889711684720497,1.0039609607626723,0.24882345475665085,0.2501845242151207,0.49490267755058803,0.49760980546177247,0.6400783289817232,0.8273644752018454
-0.8,5,0.001,2.0044216767225147,2.0047999520974944,1.0001887204570639,0.2466760213938807,0.24995473380177835,0.4945360758740525,0.5011092383523472,0.6426529816811745,0.8267930416690747
-0.8,6,0.001,1.9896150435739772,2.0051195984896943,1.0077927410962204,0.2523409959349431,0.2491221194816852,0.5059738764515627,0.49951964419001826,0.6307996051332675,0.8284154575492026
-0.8,7,0.001,2.0030941000063325,2.028910427990668,1.0128882252632334,0.24736705479276908,0.24981914164628302,0.5018855970103882,0.5068606615978214,0.6370225269343781,0.8266109269136515
-0.8,8,0.001,1.9833852077754721,2.032981821498533,1.0250060419572695,0.24204891497497624,0.24719597454700062,0.49208104405757075,0.5025449226016664,0.642624446181913,0.8279752972411405
-0.8,9,0.001,2.005171641001631,2.0148821069191074,1.0048427105784448,0.24766615525594507,0.2562579938629277,0.49901810471465335,0.5163296465893994,0.6382658732753548,0.8226870660097386
-0.8,10,0.001,2.016668593620749,1.9885703324295514,0.9860669912349109,0.2504911285401404,0.250788661059093,0.49811922675172043,0.49871089109184263,0.6404450517275034,0.8269469550402818
-0.8,11,0.001,1.9825287638858142,1.9418153142637617,0.9794638794837696,0.2552953808884564,0.2515276456539631,0.49573648027000466,0.4884202342915744,0.6407597070071952,0.8272640499811992
-0.8,12,0.001,1.9824009370891456,2.007495581660166,1.012658713028994,0.24979434738404913,0.24791841343909607,0.5014610486971632,0.4976951195911836,0.6357698086093148,0.8284569484880805
-0.8,13,0.001,1.9937953081133313,1.9880229563494505,0.9971048423374298,0.24750030538254217,0.25005664619096746,0.4920362888039933,0.49711835301539564,0.6421382825774409,0.8276845927719176
-0.8,14,0.001,2.003598768879289,1.9941591591423633,0.9952886726207135,0.2489041550853538,0.251958198062076,0.4963545006120495,0.5024447483864944,0.641212436581241,0.8258245249234679
-0.8,15,0.001,1.998403884255721,2.035383543116787,1.0185045971699753,0.2429462515815548,0.24865475631495557,0.49448880233100734,0.5061077989211755,0.640558432195058,0.8275336038914314
-0.8,16,0.001,2.0210110052275163,2.02175948654804,1.000370349947916,0.24477914895566466,0.24872176029172438,0.4948845665102708,0.5028555783807214,0.6450470179054489,0.8265359401287927
-0.8,17,0.001,2.033621175159033,1.9512193553094996,0.9594802508667379,0.25029723302168955,0.2443886161708311,0.4883848056523327,0.4768557980898298,0.6473571289252974,0.8326063722233455
-0.8,18,0.001,1.9782549109508354,1.9804075360475693,1.0010881434363275,0.25751358519174516,0.25089073223088876,0.5099818447483598,0.4968658968345449,0.6306282892599571,0.8266924788349851
-0.8,19,0.001,1.9857885040026848,2.0051278473120426,1.009738873636531,0.2503831163824054,0.24599005227600196,0.5020501591551332,0.49324150398035665,0.6382457271847791,0.8287577909842007
-0.7,0,0.001,1.9895665210084803,2.0079305800949325,1.0092301809929651,0.2469030302254269,0.2522767800316377,0.4957641447077381,0.5065542612734081,0.659606474517119,0.8176208022527786
-0.7,1,0.001,2.025933994369484,2.0067017900714808,0.9905069936377722,0.24898136287349218,0.24987777562485736,0.49963134657267366,0.5014301796454811,0.6572363239837644,0.8205893768847222
-0.7,2,0.001,2.0223535425481742,2.0141326359047746,0.9959349804717917,0.24805167719882068,0.24495853407820548,0.499608978437061,0.49337897793030555,0.6568276865264562,0.8239157040088355
-0.7,3,0.001,1.976770063787013,1.9831846514062372,1.003244984197573,0.25739010406812063,0.24648715501903332,0.5104521038117509,0.48882954260253675,0.6509979148048853,0.8214360981484269
