tauN,replicate,sigma_meta,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
-1.355,9,0.001,0.6810446679272306,0.2514852036905152,1.3689617723319518,0.5055081500119977,0.3658839060687282,0.7561092668879734
-1.355,10,0.001,0.6793239866619043,0.2484787131523792,1.3385690005138722,0.48961307011655614,0.37436224489795916,0.7609585741811176
-1.355,11,0.001,0.6825640441667923,0.25304188843860875,1.3393742998320808,0.49653626652626703,0.3710421766523536,0.758821418603724
-1.355,12,0.001,0.6795433846316448,0.24901751457830085,1.3815436238954222,0.5062643052443546,0.3659859604339502,0.7574213735558408
-1.355,13,0.001,0.6827348688523892,0.24866257772773928,1.3624842938329387,0.4962378107149338,0.36835387499501415,0.7593164587428296
-1.355,14,0.001,0.6766142718556422,0.24857855826722722,1.3386149773625973,0.4917882979842094,0.37491002159481723,0.7609426262302953
-1.355,15,0.001,0.6753777414559596,0.24371473513956285,1.3481694085186064,0.486496267425181,0.37437716745724875,0.7642997631758519
-1.355,16,0.001,0.6836160250733376,0.2541626356987394,1.374015235033903,0.5108472019639613,0.36544837227880966,0.7542559583416784
-1.355,17,0.001,0.6656811026311457,0.25414860181174603,1.3491606956533708,0.5150924415074779,0.37441710885994534,0.7543384811335775
-1.355,18,0.001,0.6849360457568465,0.24709388754016431,1.3637136236161724,0.49196607893290484,0.36715786110778326,0.761288513161585
-1.355,19,0.001,0.6803459111895497,0.24836550542166952,1.3542225884171433,0.4943693672496516,0.37058870389548315,0.7588977263597654
-1.2825,0,0.001,0.6413547036850329,0.24872645503419522,1.2829488403756637,0.4975457655855612,0.4016818109357564,0.7588325036132969
-1.2825,1,0.001,0.6438288801766461,0.25311145323804224,1.2747277474168046,0.5011396701294281,0.39903439951719977,0.7584012726188109
-1.2825,2,0.001,0.6328021152017197,0.24747516474933914,1.302431738371949,0.5093527680855172,0.4023020551218735,0.756909850554395
-1.2825,3,0.001,0.6538698843927838,0.2517784985567793,1.2673143446882569,0.4879908228246265,0.4002155344455975,0.7605227290948449
-1.2825,4,0.001,0.6337643981928501,0.2531624698791342,1.2734928581600902,0.5087073339312791,0.40506481036965913,0.7553991361382179
-1.2825,5,0.001,0.628928432045972,0.2519187218589105,1.2872751729707226,0.5156210146209262,0.40297308155885897,0.7554759060135404
-1.2825,6,0.001,0.6455689105040252,0.2484886550683762,1.2771083510147239,0.49157716760627945,0.3995130323713727,0.7599711388142862
-1.2825,7,0.001,0.6421937799513925,0.24671741431638622,1.2948646298413542,0.49745989970252247,0.3971639704413821,0.7595033046264771
-1.2825,8,0.001,0.6357716071195834,0.24348096002084815,1.2742175402186542,0.4879861045909944,0.40331513886659176,0.7655876255780577
-1.2825,9,0.001,0.6407393879252081,0.2508228637717794,1.2792544691600078,0.5007750038382447,0.4008944258105734,0.7568520596249398
-1.2825,10,0.001,0.640616941237348,0.2488782120105594,1.2769648103705757,0.49609789930248516,0.40273677491422644,0.7594449346274164
-1.2825,11,0.001,0.6568850971029117,0.2538091847066326,1.2599873526466632,0.48683759781783686,0.39879238643634035,0.7589628681177977
-1.2825,12,0.001,0.6454212556274301,0.25813420221342687,1.267320659936917,0.506860913936573,0.3994539029874719,0.7531877590054192
-1.2825,13,0.001,0.6512289602979893,0.24802313015538274,1.2963848478697715,0.4937333064972159,0.39429369513168394,0.7605854049719326
-1.2825,14,0.001,0.640585820623873,0.2509118791289722,1.2781462573434719,0.5006387417682434,0.3992862012270923,0.7574113234648685
-1.2825,15,0.001,0.6434643120054447,0.25035343272266186,1.2849208381714097,0.4999256937972504,0.397242206235012,0.7564051240992794
-1.2825,16,0.001,0.6329969220049226,0.24784398931985882,1.276394291512175,0.4997601760076365,0.4048265942144798,0.7588499119013294
-1.2825,17,0.001,0.6470073093921668,0.2488830638212823,1.2956775265222085,0.4984057951805454,0.39585247932233186,0.7600608657349938
-1.2825,18,0.001,0.6302689517845602,0.2485857059456381,1.2670526916038096,0.4997409231738865,0.4064207650273224,0.7605129021981523
