tauY,replicate,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
0.26749999999999996,17,0.24602220241273437,0.1349890706662628,0.4888893034251391,0.268246979666174,0.7620041753653445,0.8703570859238005
0.26749999999999996,18,0.25074582227787967,0.13171105617285628,0.5097734072657744,0.2677723332331426,0.7560713003947841,0.8709625646992738
0.26749999999999996,19,0.24938314237492448,0.13289514141833766,0.5038191241832994,0.26848291797102225,0.7597278586774887,0.8703048339097563
0.33999999999999997,0,0.25077321471273817,0.16947340591632548,0.5025989013972404,0.3396580760316231,0.7571736871553033,0.8353350948834974
0.33999999999999997,1,0.2471919409179763,0.17106048647443808,0.498694364039035,0.3451038905143131,0.759345419541152,0.834290729216531
0.33999999999999997,2,0.25089891534175246,0.16826544188306072,0.5074937343974265,0.3403508435058473,0.7565352945878967,0.8362420943079016
0.33999999999999997,3,0.24823415981514776,0.175884319184014,0.4890769663585077,0.3465315544025294,0.7604682032098468,0.8318548868292295
0.33999999999999997,4,0.2545688053201931,0.17423094968997885,0.5042411413362707,0.3451106777096088,0.7565556484023715,0.8313965177530258
0.33999999999999997,5,0.2466961986596509,0.16980574512139482,0.49259699689748826,0.3390640008123495,0.7611180174038578,0.8360531460718988
0.33999999999999997,6,0.24234439046202733,0.1722339718546243,0.4835469838276348,0.34365646939126027,0.7641157349813396,0.8329412702842789
0.33999999999999997,7,0.26052112030963825,0.1721997145252858,0.4915311449116769,0.3248931324012361,0.755226863881671,0.8378627176305784
0.33999999999999997,8,0.2511500077876131,0.17346315624943073,0.5062070074474773,0.3496247760488792,0.755192878338279,0.8315377862900007
0.33999999999999997,9,0.242591082733277,0.16867879749482062,0.4842496468417552,0.33670919473312594,0.7658601179727941,0.8381514414450337
0.33999999999999997,10,0.2547867161713497,0.1736204343839143,0.49973343342148263,0.3405355549559031,0.7565660993981906,0.8333132602673733
0.33999999999999997,11,0.2544750028853545,0.17063287119329942,0.5050919657480337,0.3386788146381617,0.7540181971221291,0.8356951818290687
0.33999999999999997,12,0.2519780415950537,0.17087939990859452,0.49966655668034465,0.33884984905608173,0.7572815533980582,0.8349285170798126
0.33999999999999997,13,0.2492461996032059,0.16988858255444714,0.5068043545124934,0.34544267297803793,0.7575090108129756,0.8351977626847783
0.33999999999999997,14,0.25137697218700594,0.16849064031325026,0.5014873604332555,0.336132326415095,0.7567783412530448,0.8362383299274753
0.33999999999999997,15,0.2563586568522522,0.17463559438993198,0.5096833458697992,0.3472044016361046,0.7531313778062347,0.8319539402662829
0.33999999999999997,16,0.25283625587213027,0.16672858310265692,0.504472906624067,0.3326661069433316,0.7550946871121432,0.8388282779842545
0.33999999999999997,17,0.25209532923402406,0.16967233679651283,0.5047958155045379,0.33975197351731246,0.757849137588427,0.8349303486593124
0.33999999999999997,18,0.2553396016749124,0.1734502583358019,0.49843737014968525,0.33858473205715395,0.7558989100491077,0.8334468801346532
0.33999999999999997,19,0.24776988734467237,0.17217992500147292,0.49518175086834715,0.34411105255904034,0.7601487821461425,0.8329399527943353
0.4125,0,0.2565792993973311,0.20445422763222743,0.5021102350341048,0.40010460910628676,0.7560392250657737,0.8043268844826202
0.4125,1,0.24745553311697288,0.20708492414577778,0.4994201768598719,0.41794332961231245,0.7611135519431241,0.7995032648319513
0.4125,2,0.2502128572573057,0.19993743825712282,0.5119582805092655,0.40909019712877026,0.7552873700561596,0.8026352789940947
0.4125,3,0.2495817915739603,0.2020589143538544,0.5044035113355922,0.40836002199519206,0.7575129533678756,0.80228823765556
0.4125,4,0.2506428343908033,0.2059782438343148,0.493943232387916,0.4059224745378993,0.7586013537869989,0.8020612791115728
0.4125,5,0.24691173426933433,0.2106712245345213,0.4882092263552845,0.41655223819021603,0.7617844104785975,0.7983089379013282
0.4125,6,0.25167847445711977,0.20476093330022663,0.5028719796149189,0.40912730458411456,0.7559074007436728,0.8010324542798831
0.4125,7,0.2506319315337967,0.20461347643662692,0.49380438653411707,0.4031371086280635,0.7597085435182961,0.8043321876748462
0.4125,8,0.250155424040071,0.20337957891087047,0.5021638056762472,0.4082656361924646,0.7596648713345302,0.8032885502305995
0.4125,9,0.25544133083676385,0.21187840213674292,0.5007338186474809,0.4153387435123259,0.7564901349948079,0.7972117618780546
0.4125,10,0.2531372217190677,0.2098903180972895,0.4912933728432676,0.40735898737011494,0.7575430603844463,0.7984946150458422
